author,start,end,typineq
Xu,1949,1970,injustice
Bottoms,2019,2020,disparity
Peris,2010,2018,disparity
Ubareviciene,2011,2021,disparity
Janatabadi,2019,2020,inequality
Sulis,2019,2020,inequality
Verma,2019,2021,inequality
Pons,2019,2020,injustice
Gao,2017,2019,inequality
Silva,2017,2018,inequality
Collins,2011,2015,disparity
Lopes,2009,2017,inequality
Maffini,2010,2011,inequality
Calafiore,2019,2020,inequality
Iyer,2020,2021,inequality
Cohen,2022,2023,inequality
Knaap,2013,2017,disparity
